DELAY	TYPE	R1	T1	R2	T2	R3	T3
0	1	10	155	10	321	10	301
0	2	9.7	21	8.4	292	8.5	107
0	2	8.7	190	8.5	271	9.5	143
3	2	9.7	83	9.3	159	8.2	322
3	4	10	145	10	125	9	300
0	3	8	311	8	321	8	135
0	2	9.3	272	8.5	39	9.4	175
0	4	8	57	8	37	9	212
3	5	9	306	10	306	8	133
3	0	8	340	9	116	10	116
0	0	10	80	8	244	9	244
3	3	10	127	10	147	9	308
3	2	8.1	227	9.6	49	8.3	131
0	2	9.7	354	9.2	269	9.4	140
0	1	10	269	8	4	8	24
3	0	9	16	8	253	9	253
3	6	9	149	8	149	8	320
3	2	8.6	179	8.4	73	9.5	218
0	5	9	304	10	304	10	146
0	5	9	37	10	37	8	216
3	2	9.4	281	8.5	50	9.1	212
0	1	10	357	8	116	8	126
0	2	9.1	257	9.1	85	8.2	350
3	6	10	303	9	303	8	140
0	4	10	139	10	119	8	320
0	6	9	230	8	230	9	45
3	6	9	228	8	228	9	34
0	2	9.4	100	9.1	239	9.3	30
3	2	9.4	171	9.4	261	9.3	60
3	3	8	327	8	337	9	132
0	2	8.3	89	9.6	194	9.7	96
3	2	8.1	173	9.4	279	9.8	252
3	2	9.2	215	9.8	281	8.8	70
0	2	9.3	16	9.2	279	8.6	212
3	5	9	33	10	33	10	239
0	5	8	40	10	40	8	212
3	1	10	357	10	132	10	122
3	2	9.4	324	8.1	7	8.8	213
0	5	8	223	9	223	9	58
3	4	8	50	8	30	9	222
3	0	9	175	8	337	10	337
0	6	10	302	9	302	10	122
3	6	10	129	8	129	10	320
3	1	10	269	8	38	8	48
0	1	10	31	10	204	10	194
0	6	10	123	8	123	8	304
0	2	9.6	261	8.7	94	8.5	313
3	3	8	224	8	244	8	48
3	2	9.8	83	8.7	195	8.7	95
3	0	9	294	9	142	10	142
3	4	10	211	10	201	9	36
0	0	9	220	9	31	10	31
0	0	10	343	8	124	10	124
0	4	10	221	10	211	10	41
3	3	10	53	10	63	10	211
3	1	10	143	10	342	10	322
3	5	8	227	9	227	10	51
3	5	8	58	10	58	9	225
0	0	10	261	9	40	10	40
0	4	8	304	8	294	10	125
0	3	8	234	8	254	10	33
0	2	9.4	283	9.4	193	8.6	168
3	2	8.2	236	8.6	323	9.7	82
0	3	10	34	10	44	8	214
0	2	9.1	90	9.3	248	9.4	13
3	2	8.3	72	8.2	193	8.3	111
3	2	9.8	324	8.7	183	8.6	79
0	2	9.5	147	8.5	18	9.3	212
0	6	9	132	8	132	10	300
3	1	8	44	8	212	8	232
3	4	8	309	8	299	9	134
0	3	10	124	10	144	10	319
