ring2	ring1	delay	angle1	angle2	type	RT	ts_r	fixated	choiceAngle	ts_p	choiceR	ts_b	MT	ts_f	ts_d	ts_e	choice_x	choice_y
8.00	8.00	0.00	218.00	206.00	1.00	0.00	1444037747.81	1.00	-6.44	1444037746.75	-1.60	1444037729.85	2.62	1444037745.73	1444037747.78	1444037750.43	-1.73	-0.44
9.70	11.40	3.00	321.00	321.00	4.00	0.00	1444037757.27	1.00	10.08	1444037753.18	0.54	1444037750.44	3.15	1444037752.16	1444037754.21	1444037760.42	1.04	1.85
8.00	11.40	0.00	144.00	144.00	4.00	0.00	1444037764.87	1.00	2.77	1444037763.81	-1.86	1444037760.44	3.02	1444037762.79	1444037764.84	1444037767.89	-1.78	0.72
8.00	8.00	3.00	122.00	134.00	2.00	0.00	1444037774.80	1.00	-4.56	1444037770.70	-1.51	1444037767.90	2.85	1444037769.69	1444037771.74	1444037777.65	-0.37	1.57
11.40	11.40	0.00	52.00	64.00	2.00	0.00	1444037782.25	1.00	5.81	1444037781.22	-2.39	1444037777.67	3.08	1444037780.18	1444037782.22	1444037785.33	0.78	2.48
9.70	11.40	3.00	54.00	54.00	4.00	0.00	1444037792.98	1.00	11.05	1444037788.91	0.17	1444037785.35	2.68	1444037787.88	1444037789.91	1444037795.66	-1.77	1.34
-1.00	11.40	0.00	231.00	-1.00	0.00	0.00	1444037799.99	1.00	-11.16	1444037798.93	-1.36	1444037795.68	2.58	1444037797.91	1444037799.96	1444037802.58	-2.49	0.02
11.40	11.40	0.00	148.00	156.00	2.00	0.00	1444037806.91	1.00	1.45	1444037805.88	-3.53	1444037802.59	2.92	1444037804.86	1444037806.88	1444037809.83	-3.11	1.71
8.00	8.00	0.00	327.00	319.00	1.00	0.00	1444037813.61	1.00	3.51	1444037812.57	-1.55	1444037809.84	2.35	1444037811.56	1444037813.58	1444037815.96	1.52	-0.52
-1.00	8.00	0.00	141.00	-1.00	0.00	0.00	1444037819.87	1.00	-1.59	1444037818.84	-1.10	1444037815.97	2.18	1444037817.82	1444037819.84	1444037822.05	-0.74	0.85
8.00	8.00	3.00	50.00	42.00	1.00	0.00	1444037828.65	1.00	3.18	1444037824.55	-0.17	1444037822.07	2.05	1444037823.54	1444037825.59	1444037830.70	-0.22	0.42
11.40	11.40	3.00	230.00	246.00	2.00	0.00	1444037838.16	1.00	-3.35	1444037834.07	-0.85	1444037830.71	2.62	1444037833.05	1444037835.10	1444037840.78	-1.03	-0.27
8.00	8.00	0.00	315.00	299.00	1.00	0.00	1444037845.23	1.00	-0.87	1444037844.16	0.16	1444037840.79	2.08	1444037843.15	1444037845.20	1444037847.31	-0.20	0.03
