ring2	ring1	delay	angle1	angle2	type	RT	ts_r	fixated	choiceAngle	ts_p	choiceR	ts_b	MT	ts_f	ts_d	ts_e	choice_x	choice_y
11.40	11.40	0.00	212.00	200.00	1.00	7.50	1444036707.08	1.00	-8.36	1444036706.01	-2.94	1444036695.67	5.60	1444036704.99	1444036707.04	1444036720.17	-3.22	-0.56
8.00	8.00	0.00	40.00	24.00	1.00	1.04	1444036730.12	1.00	-0.58	1444036729.05	0.33	1444036720.18	3.24	1444036728.04	1444036730.08	1444036734.40	-0.20	-0.28
11.40	8.00	0.00	57.00	57.00	3.00	1.12	1444036741.82	1.00	7.58	1444036740.75	0.06	1444036734.41	2.21	1444036739.73	1444036741.78	1444036745.15	-0.89	0.59
11.40	8.00	3.00	310.00	310.00	3.00	nan	nan	0.00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-1.00	8.00	3.00	217.00	-1.00	0.00	0.00	1444036769.01	1.00	-6.80	1444036764.91	-0.08	1444036757.33	4.31	1444036763.89	1444036765.94	1444036773.32	-0.68	0.66
8.00	8.00	3.00	327.00	319.00	1.00	0.00	1444036781.98	1.00	2.51	1444036777.92	-0.33	1444036773.33	6.05	1444036776.90	1444036778.92	1444036788.03	0.47	0.10
9.70	11.40	3.00	324.00	324.00	4.00	nan	nan	0.00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
11.40	8.00	3.00	310.00	310.00	3.00	0.00	1444036804.09	1.00	-4.66	1444036799.99	2.38	1444036795.63	2.88	1444036798.96	1444036801.03	1444036806.98	-2.15	1.25
8.00	8.00	0.00	59.00	47.00	1.00	nan	nan	0.00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
11.40	11.40	0.00	139.00	155.00	2.00	nan	nan	0.00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8.00	8.00	0.00	59.00	47.00	1.00	0.00	1444036823.39	1.00	7.05	1444036822.32	-0.63	1444036819.60	3.13	1444036821.31	1444036823.35	1444036826.52	-0.42	1.06
9.70	11.40	3.00	324.00	324.00	4.00	0.00	1444036835.54	1.00	-0.65	1444036831.47	-1.02	1444036826.53	2.80	1444036830.45	1444036832.47	1444036838.33	0.76	-0.69
11.40	11.40	0.00	139.00	155.00	2.00	0.00	1444036843.03	1.00	-11.48	1444036842.00	-1.00	1444036838.35	3.60	1444036840.96	1444036843.00	1444036846.63	0.45	2.35
11.40	11.40	3.00	322.00	334.00	2.00	0.00	1444036854.13	1.00	0.54	1444036850.03	-0.16	1444036846.65	8.70	1444036848.99	1444036851.06	1444036862.82	0.19	-0.02
