ring2	ring1	delay	angle1	angle2	type	RT	ts_r	fixated	choiceAngle	ts_p	choiceR	ts_b	MT	ts_f	ts_d	ts_e	choice_x	choice_y
11.40	9.70	3.00	322.00	322.00	3.00	0.00	1444038548.01	1.00	1.87	1444038543.91	0.03	1444038533.50	2.53	1444038542.90	1444038544.95	1444038550.54	0.17	0.27
11.40	9.70	0.00	138.00	138.00	3.00	0.00	1444038555.03	1.00	-2.94	1444038553.96	-1.10	1444038550.56	2.80	1444038552.94	1444038554.99	1444038557.83	-0.53	1.07
8.00	8.00	0.00	148.00	160.00	2.00	0.00	1444038561.52	1.00	4.34	1444038560.46	-1.67	1444038557.84	1.97	1444038559.44	1444038561.49	1444038563.49	-1.69	0.49
11.40	9.70	0.00	41.00	41.00	3.00	0.00	1444038567.31	1.00	2.15	1444038566.24	-1.57	1444038563.50	1.91	1444038565.22	1444038567.24	1444038569.22	0.99	1.27
11.40	9.70	0.00	213.00	213.00	3.00	0.00	1444038573.72	1.00	-3.67	1444038572.67	-1.12	1444038569.24	2.17	1444038571.65	1444038573.67	1444038575.89	-1.25	-0.16
-1.00	8.00	0.00	228.00	-1.00	0.00	0.00	1444038579.38	1.00	-0.88	1444038578.35	-1.27	1444038575.90	1.87	1444038577.34	1444038579.35	1444038581.25	-0.93	-0.88
9.70	11.40	0.00	137.00	137.00	4.00	0.00	1444038585.18	1.00	-2.58	1444038584.12	-1.55	1444038581.26	2.22	1444038583.10	1444038585.15	1444038587.40	-0.84	1.39
8.00	8.00	3.00	45.00	61.00	2.00	0.00	1444038594.50	1.00	6.41	1444038590.43	-0.95	1444038587.41	2.35	1444038589.41	1444038591.46	1444038596.85	0.15	1.26
8.00	9.70	0.00	141.00	141.00	4.00	0.00	1444038601.03	1.00	-2.65	1444038599.96	-1.30	1444038596.86	2.53	1444038598.94	1444038600.99	1444038603.56	-0.77	1.12
11.40	8.00	0.00	48.00	48.00	3.00	0.00	1444038607.36	1.00	-1.13	1444038606.29	-1.96	1444038603.57	1.88	1444038605.28	1444038607.32	1444038609.24	1.40	1.37
9.70	8.00	0.00	213.00	213.00	3.00	0.00	1444038613.29	1.00	-1.76	1444038612.22	-1.47	1444038609.25	1.63	1444038611.19	1444038613.26	1444038614.92	-1.35	-0.64
11.40	11.40	0.00	46.00	30.00	1.00	0.00	1444038618.66	1.00	0.05	1444038617.62	-2.68	1444038614.95	2.28	1444038616.61	1444038618.62	1444038620.94	1.85	1.93
11.40	9.70	3.00	121.00	121.00	3.00	0.00	1444038628.08	1.00	-6.58	1444038623.99	-2.16	1444038620.95	1.72	1444038622.97	1444038625.02	1444038629.80	-0.40	2.34
11.40	11.40	3.00	49.00	65.00	2.00	0.00	1444038636.18	1.00	11.22	1444038632.08	-1.84	1444038629.81	2.17	1444038631.07	1444038633.12	1444038638.35	-0.08	2.74
8.00	8.00	0.00	56.00	64.00	2.00	0.00	1444038643.10	1.00	10.59	1444038642.03	-2.16	1444038638.36	2.57	1444038641.01	1444038643.07	1444038645.66	0.37	2.47
9.70	8.00	3.00	228.00	228.00	3.00	0.00	1444038652.91	1.00	-5.13	1444038648.84	-1.41	1444038645.68	2.83	1444038647.83	1444038649.85	1444038655.74	-1.40	-0.67
8.00	8.00	3.00	317.00	309.00	1.00	0.00	1444038662.49	1.00	10.08	1444038658.39	-1.81	1444038655.75	2.48	1444038657.38	1444038659.42	1444038664.97	2.13	-0.50
-1.00	8.00	3.00	301.00	-1.00	0.00	0.00	1444038671.74	1.00	-4.98	1444038667.64	0.73	1444038664.99	2.08	1444038666.62	1444038668.67	1444038673.82	-1.01	0.20
8.00	8.00	0.00	59.00	71.00	2.00	0.00	1444038677.50	1.00	11.29	1444038676.43	-1.86	1444038673.83	2.43	1444038675.42	1444038677.47	1444038679.93	-0.01	2.32
8.00	8.00	0.00	221.00	237.00	2.00	0.00	1444038683.97	1.00	-1.62	1444038682.88	-1.51	1444038679.95	2.50	1444038681.87	1444038683.92	1444038686.47	-1.26	-0.85
11.40	11.40	0.00	313.00	297.00	1.00	0.00	1444038689.71	1.00	3.07	1444038688.63	-1.31	1444038686.48	2.08	1444038687.62	1444038689.66	1444038691.80	1.30	-0.60
-1.00	11.40	0.00	139.00	-1.00	0.00	0.00	1444038695.40	1.00	-1.68	1444038694.33	-2.20	1444038691.81	2.13	1444038693.33	1444038695.36	1444038697.53	-1.48	1.65
