DELAY	TYPE	R1	T1	R2	T2
0	3	8	145	11.4	145
3	2	8	140	8	152
0	4	11.4	220	8	220
3	3	9.7	41	11.4	41
0	1	8	317	8	309
0	4	11.4	147	8	147
0	4	9.7	124	8	124
0	4	9.7	235	8	235
3	2	11.4	58	11.4	66
3	1	8	312	8	296
3	1	11.4	136	11.4	120
0	4	9.7	308	8	308
3	4	9.7	322	8	322
3	3	8	141	11.4	141
3	1	8	57	8	49
3	0	8	51	-1	-1
0	4	9.7	49	8	49
0	0	8	213	-1	-1
0	4	11.4	32	9.7	32
3	2	11.4	314	11.4	322
0	2	8	313	8	329
0	0	8	324	-1	-1
3	3	9.7	309	11.4	309
0	1	8	128	8	120
0	1	11.4	214	11.4	198
3	2	8	302	8	310
3	3	8	238	9.7	238
3	3	8	225	11.4	225
0	1	11.4	317	11.4	309
0	2	11.4	320	11.4	332
3	4	11.4	54	8	54
0	2	11.4	223	11.4	235
3	3	8	323	9.7	323
3	1	8	229	8	213
3	3	8	318	11.4	318
3	1	8	44	8	28
3	4	11.4	226	9.7	226
0	0	8	120	-1	-1
0	1	8	129	8	113
0	3	8	225	9.7	225
