DELAY	TYPE	R1	T1	R2	T2
0	2	11.4	41	11.4	53
3	0	11.4	313	-1	-1
0	2	8	225	8	237
3	4	11.4	56	8	56
0	2	11.4	238	11.4	254
3	1	8	311	8	303
3	2	8	238	8	250
0	4	11.4	41	8	41
0	2	11.4	128	11.4	144
3	3	9.7	56	11.4	56
0	2	8	326	8	342
0	1	8	47	8	31
3	3	8	47	11.4	47
0	4	9.7	314	8	314
3	1	11.4	210	11.4	198
0	3	8	327	9.7	327
3	4	9.7	309	8	309
3	1	11.4	137	11.4	121
3	2	8	31	8	47
3	3	8	220	11.4	220
0	3	9.7	239	11.4	239
0	4	9.7	224	8	224
0	3	8	210	9.7	210
0	4	11.4	141	9.7	141
3	3	9.7	141	11.4	141
3	1	11.4	53	11.4	37
3	3	8	148	9.7	148
0	2	8	52	8	64
0	3	9.7	121	11.4	121
3	0	8	123	-1	-1
3	4	11.4	59	9.7	59
3	2	11.4	120	11.4	128
0	0	11.4	34	-1	-1
3	1	8	31	8	19
3	0	9.7	42	-1	-1
3	1	11.4	126	11.4	114
0	2	11.4	55	11.4	63
3	1	8	136	8	120
0	1	8	236	8	228
3	2	11.4	30	11.4	38
