DELAY	TYPE	R1	T1	R2	T2
0	3	9.7	138	11.4	138
0	2	8	58	8	66
3	3	9.7	50	11.4	50
3	4	11.4	309	8	309
3	0	9.7	302	-1	-1
3	3	8	322	11.4	322
0	1	8	210	8	198
0	3	8	30	9.7	30
0	4	11.4	125	9.7	125
0	3	8	310	11.4	310
0	0	8	40	-1	-1
0	2	11.4	35	11.4	51
0	0	9.7	307	-1	-1
3	1	11.4	304	11.4	296
0	2	8	215	8	231
0	2	11.4	307	11.4	323
3	4	9.7	138	8	138
0	1	8	45	8	33
3	1	11.4	128	11.4	112
3	2	8	133	8	141
0	3	8	325	9.7	325
3	3	8	223	9.7	223
0	1	8	143	8	135
0	1	11.4	40	11.4	32
3	4	9.7	218	8	218
0	3	9.7	312	11.4	312
0	3	8	49	11.4	49
3	0	11.4	37	-1	-1
3	3	9.7	147	11.4	147
3	4	9.7	328	8	328
3	2	11.4	238	11.4	246
3	3	9.7	318	11.4	318
0	1	8	146	8	130
3	3	8	141	9.7	141
3	3	8	225	11.4	225
0	3	8	127	9.7	127
3	4	11.4	216	8	216
3	0	8	303	-1	-1
0	0	8	138	-1	-1
3	1	8	121	8	105
