DELAY	TYPE	R1	T1	R2	T2
0	4	11.4	308	9.7	308
3	4	9.7	218	8	218
0	4	11.4	46	8	46
0	0	9.7	224	-1	-1
3	1	11.4	40	11.4	32
3	0	9.7	40	-1	-1
0	1	11.4	125	11.4	109
3	2	8	55	8	67
0	3	8	52	9.7	52
3	1	11.4	234	11.4	226
3	3	9.7	230	11.4	230
3	2	11.4	324	11.4	340
0	0	11.4	310	-1	-1
3	3	8	30	9.7	30
3	3	8	236	11.4	236
3	0	8	225	-1	-1
3	4	11.4	232	8	232
0	2	11.4	228	11.4	240
3	2	11.4	234	11.4	246
0	2	11.4	300	11.4	308
3	0	9.7	148	-1	-1
3	4	11.4	229	9.7	229
0	3	8	312	11.4	312
3	1	8	307	8	295
3	0	9.7	325	-1	-1
0	0	9.7	324	-1	-1
3	3	8	136	9.7	136
0	0	9.7	45	-1	-1
3	4	11.4	139	8	139
0	2	11.4	228	11.4	236
3	4	9.7	34	8	34
0	3	8	132	9.7	132
3	0	9.7	210	-1	-1
3	2	11.4	149	11.4	157
0	1	8	125	8	109
0	2	8	328	8	340
0	4	11.4	56	9.7	56
3	1	8	139	8	123
0	3	8	217	11.4	217
3	2	8	221	8	237
